Bilineal Timer,Bilineal Timer Mean,Bilineal Timer Std,Splines Timer,Splines Timer Mean,Splines Timer Std,bloques,ecm,k,kNN Timer,kNN Timer Mean,kNN Timer Std,method,name
,,,"8350922.0, 8345796.0, 8347171.0, 8351809.0, 8345529.0, 8345789.0, 8343946.0, 8345001.0, 8349568.0, 8342273.0",8346780.4,2922.2869879599434,4,0,6,,,,splines,mountain
,,,"4694754.0, 4694700.0, 4693919.0, 4692986.0, 4693891.0, 4715037.0, 4703536.0, 4694796.0, 4691903.0, 4702364.0",4697788.6,6834.094236985616,12,0,5,,,,splines,nic-cage
,,,"4713106.0, 4966292.0, 4951746.0, 4764769.0, 4795914.0, 4737181.0, 4751882.0, 4710769.0, 4653046.0, 4652735.0",4769744.0,103846.18760455292,16,0,5,,,,splines,nic-cage
,,,"7134750.0, 7132897.0, 7132810.0, 7134738.0, 7127236.0, 7129552.0, 7127957.0, 7128076.0, 7131399.0, 7126570.0",7130598.5,2952.2187673002827,4,0,5,,,,splines,nic-cage
,,,"5220134.0, 5218288.0, 5243858.0, 5221980.0, 5224703.0, 5224142.0, 5218816.0, 5225700.0, 5220399.0, 5221237.0",5223925.7,7048.53075541279,8,0,5,,,,splines,nic-cage
,,,"5603570.0, 5606990.0, 5605764.0, 5604958.0, 5606843.0, 5605210.0, 5607399.0, 5607899.0, 5606541.0, 5629321.0",5608449.5,7064.600699968824,12,0,6,,,,splines,nic-cage
,,,"5800455.0, 5755157.0, 5685762.0, 5731528.0, 5732424.0, 5691193.0, 5742142.0, 5735415.0, 5816667.0, 5890023.0",5758076.6,58719.92954559806,16,0,6,,,,splines,nic-cage
,,,"8339413.0, 8330331.0, 8330877.0, 8344426.0, 8330247.0, 8331465.0, 8332258.0, 8333224.0, 8336082.0, 8335325.0",8334364.8,4360.324157674519,4,0,6,,,,splines,nic-cage
,,,"3029271.0, 3029930.0, 3028239.0, 3031300.0, 3028021.0, 3027823.0, 3029439.0, 3029697.0, 3070877.0, 3000427.0",3030502.4,15991.738999871151,12,0,3,,,,splines,mountain
,,,"3043421.0, 3071703.0, 3106005.0, 3106637.0, 3062853.0, 2987711.0, 2987756.0, 2985566.0, 2987610.0, 2989339.0",3032860.1,48543.06909013891,16,0,3,,,,splines,mountain
,,,"4889991.0, 4884419.0, 4888233.0, 4907044.0, 4964744.0, 4916488.0, 4909433.0, 4913568.0, 4987779.0, 4874034.0",4913573.3,34358.08627979737,4,0,3,,,,splines,mountain
,,,"3340628.0, 3352897.0, 3361235.0, 3354691.0, 3342594.0, 3346223.0, 3344809.0, 3344637.0, 3341901.0, 3344566.0",3347418.1,6306.66785949601,8,0,3,,,,splines,mountain
,,,"3832007.0, 3843140.0, 3837694.0, 3840104.0, 3839331.0, 3838752.0, 3837779.0, 3840344.0, 3840020.0, 3826332.0",3837550.3,4614.506106833103,12,0,4,,,,splines,mountain
,,,"3895989.0, 3931552.0, 3869780.0, 3842692.0, 4118204.0, 3998838.0, 4114891.0, 3917858.0, 4231240.0, 4008255.0",3992929.9,120069.76200480288,16,0,4,,,,splines,mountain
,,,"5971280.0, 5977449.0, 5968529.0, 6040490.0, 6055971.0, 6075754.0, 6260341.0, 6256809.0, 6363727.0, 6058801.0",6102915.1,132816.67068214744,4,0,4,,,,splines,mountain
,,,"4200619.0, 4196616.0, 4202054.0, 4210902.0, 4204405.0, 4212513.0, 4224313.0, 4221875.0, 4246974.0, 4235219.0",4215549.0,15523.351931847708,8,0,4,,,,splines,mountain
,,,"3140981.0, 3141725.0, 3139892.0, 3140119.0, 3139759.0, 3138114.0, 3139604.0, 3137846.0, 3141911.0, 3147467.0",3140741.8,2574.5049543553027,12,0,3,,,,splines,nic-cage
,,,"3069145.0, 3120565.0, 3136433.0, 3040279.0, 3045983.0, 3042309.0, 3045376.0, 3100598.0, 3049454.0, 3067406.0",3071754.8,33374.37947228383,16,0,3,,,,splines,nic-cage
,,,"4874600.0, 4868074.0, 4868040.0, 4875039.0, 4885423.0, 4895340.0, 4873466.0, 4871840.0, 4882611.0, 4866252.0",4876068.5,8685.066404466923,4,0,3,,,,splines,nic-cage
,,,"3347407.0, 3345036.0, 3353834.0, 3345042.0, 3345090.0, 3343315.0, 3343295.0, 3334718.0, 3354475.0, 3341070.0",3345328.2,5472.234567340841,8,0,3,,,,splines,nic-cage
,,,"3842170.0, 3855683.0, 3838223.0, 3844891.0, 3839287.0, 3837336.0, 3835105.0, 3839708.0, 3839404.0, 3830857.0",3840266.4,6266.071563587508,12,0,4,,,,splines,nic-cage
,,,"4332870.0, 4249370.0, 4115094.0, 4321678.0, 4405190.0, 4304808.0, 4238879.0, 4353641.0, 4006540.0, 4015495.0",4234356.5,134155.26844239104,16,0,4,,,,splines,nic-cage
,,,"5976893.0, 5968065.0, 5969640.0, 5976872.0, 5967840.0, 5966722.0, 5967843.0, 5969808.0, 5972819.0, 5970374.0",5970687.6,3493.8625387957095,4,0,4,,,,splines,nic-cage
,,,"2538218.0, 2538771.0, 2541935.0, 2538878.0, 2537500.0, 2521803.0, 2542354.0, 2541739.0, 2556728.0, 2562167.0",2542009.3,10423.359957806313,8,0,2,,,,splines,pattern1
