Bilineal Timer,Bilineal Timer Mean,Bilineal Timer Std,Splines Timer,Splines Timer Mean,Splines Timer Std,bloques,ecm,k,kNN Timer,kNN Timer Mean,kNN Timer Std,method,name
"765.0, 791.0, 1015.0, 798.0, 898.0, 854.0, 788.0, 1441.0, 988.0, 940.0",927.8,190.445687796,,,,-1,124.176373281,7,,,,bilineal,rostro_2
"1456.0, 1202.0, 1177.0, 997.0, 1201.0, 1632.0, 1079.0, 996.0, 1108.0, 1157.0",1200.5,189.860606762,,,,-1,20.2289848944,1,,,,bilineal,paisaje_1
"1304.0, 1046.0, 1315.0, 914.0, 854.0, 1384.0, 1144.0, 819.0, 1145.0, 837.0",1076.2,203.212105939,,,,-1,42.1264109054,7,,,,bilineal,rostro_1
"1273.0, 1140.0, 1296.0, 1017.0, 965.0, 1056.0, 1310.0, 2511.0, 1360.0, 1354.0",1328.2,417.537974321,,,,-1,139.415892936,1,,,,bilineal,geometrica_1
"1251.0, 1337.0, 1028.0, 1024.0, 2468.0, 934.0, 1312.0, 988.0, 938.0, 964.0",1224.4,440.04367965,,,,-1,1489.09234395,4,,,,bilineal,geometrica_1
"985.0, 961.0, 880.0, 817.0, 989.0, 822.0, 1074.0, 778.0, 847.0, 831.0",898.4,92.1652863067,,,,-1,202.1540973,7,,,,bilineal,paisaje_1
"1900.0, 1478.0, 1013.0, 1073.0, 969.0, 1649.0, 1109.0, 4282.0, 1900.0, 1364.0",1673.7,930.232664445,,,,-1,4.56390818465,1,,,,bilineal,rostro_1
"1252.0, 1143.0, 1084.0, 2375.0, 2130.0, 1058.0, 1014.0, 973.0, 2190.0, 1350.0",1456.9,520.94595689,,,,-1,3243.86702819,4,,,,bilineal,geometrica_2
"927.0, 928.0, 946.0, 1101.0, 1004.0, 2247.0, 958.0, 1193.0, 930.0, 975.0",1120.9,384.320816506,,,,-1,408.273026909,4,,,,bilineal,paisaje_2
"790.0, 862.0, 827.0, 918.0, 1402.0, 825.0, 829.0, 810.0, 751.0, 756.0",877.0,181.001104969,,,,-1,4586.07261771,7,,,,bilineal,geometrica_1
"1992.0, 1006.0, 1026.0, 1020.0, 2279.0, 1015.0, 2337.0, 1029.0, 1043.0, 1383.0",1413.0,534.088007729,,,,-1,305.791655525,3,,,,bilineal,paisaje_2
"3590.0, 1051.0, 836.0, 978.0, 931.0, 810.0, 1111.0, 1590.0, 1021.0, 1880.0",1379.8,804.470235621,,,,-1,307.315109981,9,,,,bilineal,paisaje_1
